dataset,seed,eps,mechanism,provenance,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
email-Eu-core,2,0.5,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,16064,16161,0.845378,0.875694,0.8804000000000001,0.8516279999999998,0.8943659999999999,0.8943659999999999,0.0197958167330677,0.2457265811106998,0.015638053734572,0.1126676856579693
email-Eu-core,2,0.5,PrivDPR,paper-derived-compatible-reimplementation,16064,16064,0.8055630000000001,0.822284,0.8746940000000001,0.7579259999999999,0.8448374999999999,0.8746940000000001,0.4965139442231076,0.151835922815322,0.4814984018593874,0.4345710156299004
email-Eu-core,2,1.0,PrivGraph,official-core-sparse-reimplementation,16064,16119,0.6565535,0.745164,0.8661280000000001,0.7216,0.8136745,0.8661280000000001,0.5420816733067727,0.3400240551486284,0.5160387643972748,0.2010756848864303
email-Eu-core,2,1.0,DPGVAE,paper-derived-compatible-reimplementation,16064,16064,0.6767205,0.7318080000000001,0.889384,0.704696,0.7948005,0.889384,0.4235557768924301,0.290953377586751,0.4578482665434269,0.0660955430877516
email-Eu-core,2,1.0,DPGGAN,paper-derived-compatible-reimplementation,16064,16064,0.8205284999999999,0.8296139999999999,0.8814420000000001,0.7955439999999999,0.8519275,0.8814420000000001,0.4307768924302788,0.1799298851097439,0.3454905014531258,0.4208744403243115
email-Eu-core,2,1.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,16064,16058,0.8420255,0.8683559999999999,0.8744519999999999,0.8361560000000001,0.8809259999999999,0.8809259999999999,0.0199825697211155,0.2462394241212782,0.0206021702766182,0.1211993624747685
email-Eu-core,2,1.0,PrivDPR,paper-derived-compatible-reimplementation,16064,16064,0.8136690000000001,0.8163940000000001,0.87768,0.7655,0.8446825,0.87768,0.4950199203187251,0.1422549290938932,0.4841630753720201,0.435959776207005
email-Eu-core,2,2.0,PrivGraph,official-core-sparse-reimplementation,16064,16073,0.6649109999999999,0.7396660000000002,0.8911920000000001,0.734896,0.8232290000000001,0.8911920000000001,0.5127614541832667,0.3415415424572062,0.4958130525677229,0.1797828708805144
email-Eu-core,2,2.0,DPGVAE,paper-derived-compatible-reimplementation,16064,16064,0.8391345,0.8389620000000001,0.922116,0.842876,0.8682175000000001,0.922116,0.1960906374501991,0.232054116680607,0.2999923648561799,0.2047653710071825
email-Eu-core,2,2.0,DPGGAN,paper-derived-compatible-reimplementation,16064,16064,0.8297955,0.85404,0.877756,0.81776,0.8566094999999999,0.877756,0.4463396414342628,0.1827602903931199,0.3676815646595319,0.4308412825323423
email-Eu-core,2,2.0,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,16064,16079,0.8468675000000001,0.8672419999999998,0.874162,0.835184,0.8892795,0.8892795,0.0183017928286852,0.2471246726283037,0.017152507022498,0.1075822587839796
email-Eu-core,2,2.0,PrivDPR,paper-derived-compatible-reimplementation,16064,16064,0.816218,0.8312940000000001,0.871438,0.767838,0.848643,0.871438,0.4918451195219124,0.158815006763079,0.4831802521121491,0.4397069427877361
ego-Facebook,0,0.5,PrivGraph,official-core-sparse-reimplementation,88234,88184,0.713051,0.7269260000000001,0.86602,0.7200880000000001,0.7552684999999999,0.86602,0.3425210236416802,0.5420063009498085,0.4104155411610237,
ego-Facebook,0,0.5,DPGVAE,paper-derived-compatible-reimplementation,88234,88234,0.535947,0.543346,0.8411639999999999,0.53924,0.6119155000000001,0.8411639999999999,0.5059614207675047,0.5563291547391985,0.6826580886168674,
ego-Facebook,0,0.5,DPGGAN,paper-derived-compatible-reimplementation,88234,88234,0.8027829999999999,0.8360280000000001,0.843748,0.814878,0.8391810000000001,0.843748,0.3636239998186643,0.5022004933372529,0.1767101513195606,
ego-Facebook,0,0.5,GraphPub,paper-derived-compatible-reimplementation-no-public-code-found,88234,88354,0.8163975,0.832006,0.854568,0.833404,0.8552930000000001,0.8552930000000001,0.0105401545889339,0.5334451136222791,0.1732446080513394,
