dataset,seed,eps,multiplier,swaps,k0,retained,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
email-Eu-core,1,1.0,0.5,1258,2516.1178741463655,0.8578187250996016,16064,16064,0.988876,0.990876,0.990176,0.970656,0.9875005,0.990876,0.0,0.1097320402333897,0.015534031874898,0.5481707866851568
email-Eu-core,1,1.0,1.0,2516,2516.1178741463655,0.7371762948207171,16064,16064,0.9645815,0.966876,0.970472,0.942412,0.965777,0.970472,0.0,0.1670465515302198,0.02980999036449,0.4922473117150092
email-Eu-core,1,1.0,2.0,5032,2516.1178741463655,0.555714641434263,16064,16064,0.9472294999999998,0.948522,0.948504,0.914956,0.9491395,0.9491395,0.0,0.2242849842773166,0.0413301983439708,0.3824257806580333
email-Eu-core,1,1.0,4.0,10064,2516.1178741463655,0.3490413346613545,16064,16064,0.88743,0.8904380000000001,0.899354,0.8508640000000001,0.9064295,0.9064295,0.0,0.2426079288210884,0.0611148978585481,0.1143968666802372
email-Eu-core,1,1.0,8.0,20129,2516.1178741463655,0.2061130478087649,16064,16064,0.8488155,0.867236,0.845412,0.86556,0.880007,0.880007,0.0,0.241051126653114,0.0707870731782189,0.0945787799340139
email-Eu-core,1,1.0,16.0,40258,2516.1178741463655,0.1698207171314741,16064,16064,0.8414765,0.867726,0.871052,0.8556519999999999,0.8858079999999999,0.8858079999999999,0.0,0.2403283694493484,0.0700915465521347,0.0915646989599996
email-Eu-core,2,1.0,0.0,0,2516.1178741463655,1.0,16064,16064,1.0,1.0,1.0,0.96808,1.0,1.0,0.0,0.0,7.453294727132808e-16,0.5694540375051778
email-Eu-core,2,1.0,0.25,629,2516.1178741463655,0.9252988047808764,16064,16064,0.994313,0.9946819999999998,0.996112,0.971948,0.993904,0.996112,0.0,0.0639331258087206,0.0073735616185523,0.5804674592550846
email-Eu-core,2,1.0,0.5,1258,2516.1178741463655,0.8570094621513944,16064,16064,0.9901204999999998,0.990996,0.989802,0.970988,0.9894455,0.990996,0.0,0.1111914502700017,0.018404955384826,0.5112796494148898
email-Eu-core,2,1.0,1.0,2516,2516.1178741463655,0.7382345617529881,16064,16064,0.978102,0.97828,0.978568,0.951544,0.978195,0.978568,0.0,0.1732735019828417,0.0296913926118334,0.5016908392047125
email-Eu-core,2,1.0,2.0,5032,2516.1178741463655,0.5572709163346613,16064,16064,0.9451385,0.94693,0.949656,0.922904,0.947848,0.949656,0.0,0.2172955294520126,0.0437479023667477,0.4122830213210954
