dataset,seed,eps,mechanism,sampler,eval_pos,mean_log_degree_product_gap,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_release_max,auc_aux_max,auc_max
email-Eu-core,0,3.0,tmf,degree_matched,1000,0.0556830876467108,16064,16109,0.7703025,0.776046,0.80246,0.790044,0.718598,0.790044,0.80246,0.80246
email-Eu-core,0,3.0,dk1dp,degree_matched,1000,0.0556830876467108,16064,14899,0.511183,0.5247700000000001,0.50541,0.530964,0.5619535000000001,0.530964,0.5619535000000001,0.5619535000000001
email-Eu-core,0,3.0,dk2dp,degree_matched,1000,0.0556830876467108,16064,16061,0.5061115,0.503598,0.4906679999999999,0.4938079999999999,0.5587084999999999,0.5061115,0.5587084999999999,0.5587084999999999
email-Eu-core,0,3.0,swap,degree_matched,1000,0.0556830876467108,16064,16064,0.9861835,0.99222,0.99334,0.93684,0.986943,0.99222,0.99334,0.99334
email-Eu-core,0,3.0,edgeflip,degree_matched,1000,0.0556830876467108,16064,38515,0.9731,0.979,0.98458,0.924372,0.971331,0.979,0.98458,0.98458
email-Eu-core,0,5.0,tmf,degree_matched,1000,0.0556830876467108,16064,16133,0.9213215,0.9537600000000002,0.9502079999999998,0.921824,0.9026185,0.9537600000000002,0.9502079999999998,0.9537600000000002
email-Eu-core,0,5.0,dk1dp,degree_matched,1000,0.0556830876467108,16064,14841,0.5145195,0.5152,0.505044,0.488564,0.5594395000000001,0.5152,0.5594395000000001,0.5594395000000001
email-Eu-core,0,5.0,dk2dp,degree_matched,1000,0.0556830876467108,16064,16062,0.5006780000000001,0.512324,0.497464,0.498892,0.5683865,0.512324,0.5683865,0.5683865
email-Eu-core,0,5.0,swap,degree_matched,1000,0.0556830876467108,16064,16064,0.998223,0.998508,0.998284,0.95398,0.997892,0.998508,0.998284,0.998508
email-Eu-core,0,5.0,edgeflip,degree_matched,1000,0.0556830876467108,16064,19183,0.995827,0.9956,0.9968,0.9516,0.994345,0.995827,0.9968,0.9968
email-Eu-core,1,0.5,tmf,degree_matched,1000,0.0565074399475543,16064,15970,0.536213,0.5131020000000001,0.532284,0.5126040000000001,0.6201615,0.536213,0.6201615,0.6201615
email-Eu-core,1,0.5,dk1dp,degree_matched,1000,0.0565074399475543,16064,14966,0.5174930000000001,0.4989659999999999,0.49426,0.502344,0.5589575,0.5174930000000001,0.5589575,0.5589575
email-Eu-core,1,0.5,dk2dp,degree_matched,1000,0.0565074399475543,16064,16109,0.5128175,0.476164,0.527728,0.536092,0.5603720000000001,0.536092,0.5603720000000001,0.5603720000000001
email-Eu-core,1,0.5,swap,degree_matched,1000,0.0565074399475543,16064,16064,0.8124290000000001,0.869244,0.8805540000000001,0.8255920000000001,0.790171,0.869244,0.8805540000000001,0.8805540000000001
