dataset,seed,eps_d,tau,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_learned_embed,auc_max,auc_release_max,auc_aux_max,certificate,deg_fidelity,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
email-Eu-core,1,1.0,0.1,16064,15881,0.5685605,0.8331219999999999,0.881918,0.800084,0.8702324999999999,0.7615439999999999,0.881918,0.8331219999999999,0.881918,0.5413850851727544,0.272472609561753,0.7275273904382468,0.3687610567226154,0.5799240432256654,0.0643226788374405
email-Eu-core,1,1.0,0.0,16064,15823,0.5020955,0.49806399999999995,0.8801260000000001,0.480252,0.7264659999999998,0.516,0.8801260000000001,0.516,0.8801260000000001,0.5,0.20437001992031878,0.7956299800796811,0.3696008988771056,0.5868917026661191,0.07139429724355928
email-Eu-core,2,1.0,1.0,16064,14941,0.8257219999999998,0.845202,0.850762,0.83266,0.8797755,0.8271459999999998,0.8797755,0.845202,0.8797755,0.8629931850531807,0.9236180278884463,0.07638197211155373,0.2784255336678228,0.18359366826038728,0.13223541439821393
email-Eu-core,2,1.0,0.75,16064,15411,0.7812355,0.863812,0.864664,0.8276919999999999,0.8703844999999999,0.822012,0.8703844999999999,0.863812,0.8703844999999999,0.7771331807704005,0.7605204183266933,0.2394795816733067,0.31626587070259815,0.33738210510659283,0.07001118600468198
email-Eu-core,2,1.0,0.5,16064,15607,0.7494294999999999,0.850058,0.862088,0.826832,0.8722845000000001,0.80802,0.8722845000000001,0.850058,0.8722845000000001,0.6921005912000946,0.5803037848605578,0.4196962151394422,0.3484244022217612,0.4651230762794394,0.07285413034341436
email-Eu-core,2,1.0,0.25,16064,15829,0.6401915,0.844522,0.863888,0.811592,0.862234,0.782084,0.863888,0.844522,0.863888,0.6007985155262858,0.3910607569721115,0.6089392430278884,0.36524846738639416,0.5523930877197243,0.05549347813190139
email-Eu-core,2,1.0,0.1,16064,15869,0.5678414999999999,0.822008,0.8689319999999999,0.818104,0.8542040000000001,0.7395639999999999,0.8689319999999999,0.822008,0.8689319999999999,0.5411663088288071,0.2731573705179283,0.7268426294820715,0.3686031982441526,0.5801264549892249,0.07460317126334687
email-Eu-core,2,1.0,0.0,16064,15828,0.5053225,0.48585999999999996,0.854852,0.49740799999999996,0.7123160000000001,0.47862799999999994,0.854852,0.5053225,0.854852,0.5,0.204058764940239,0.7959412350597608,0.36986727816475784,0.5867648374691504,0.07073521080284792
ego-Facebook,0,1.0,1.0,88234,85791,0.7982035000000001,0.8425820000000002,0.837952,0.830496,0.8482715,0.8248,0.8482715,0.8425820000000002,0.8482715,0.8543871407754722,0.9700682276673391,0.02993177233266096,0.5442466252447217,0.40754766645782853,
ego-Facebook,0,1.0,0.75,88234,86832,0.762661,0.8225499999999999,0.84132,0.8116639999999999,0.840076,0.8002079999999999,0.84132,0.8225499999999999,0.84132,0.7732530174035208,0.7838248294308316,0.21617517056916843,0.5623202603072721,0.5391279949312727,
ego-Facebook,0,1.0,0.5,88234,87429,0.6993560000000001,0.8194939999999998,0.854784,0.8114439999999999,0.8270095,0.787772,0.854784,0.8194939999999998,0.854784,0.6895291153702968,0.5870072761067162,0.41299272389328395,0.575783354324267,0.640687678746814,
ego-Facebook,0,1.0,0.25,88234,87861,0.6221725000000001,0.801464,0.8579979999999999,0.78284,0.8168755,0.7338399999999998,0.8579979999999999,0.801464,0.8579979999999999,0.5992829446086425,0.3870843439037106,0.6129156560962897,0.582246568273637,0.7077069271149704,
ego-Facebook,0,1.0,0.1,88234,87798,0.5463355,0.812062,0.823812,0.7913,0.8139735,0.72314,0.823812,0.812062,0.823812,0.5409858138556459,0.26756125756511095,0.7324387424348893,0.5838070858592923,0.728252738096559,
ego-Facebook,0,1.0,0.0,88234,88365,0.51257,0.531964,0.836722,0.490448,0.5879095000000001,0.5209999999999999,0.836722,0.531964,0.836722,0.5,0.18770541967948862,0.8122945803205116,0.5841734617063622,0.7304875585777588,
ego-Facebook,1,1.0,1.0,88234,85618,0.801018,0.831302,0.848516,0.832468,0.8475639999999999,0.824224,0.848516,0.832468,0.848516,0.8551482292781527,0.9692748826982795,0.0307251173017205,0.5403697271088578,0.40713381844871027,
ego-Facebook,1,1.0,0.75,88234,86689,0.7640054999999999,0.842616,0.8486319999999999,0.8237559999999999,0.8391540000000001,0.771304,0.8486319999999999,0.842616,0.8486319999999999,0.7743551387858352,0.7842441689144775,0.21575583108552274,0.5622896021341978,0.5387120739612515,
ego-Facebook,1,1.0,0.5,88234,87477,0.7016859999999999,0.8134599999999998,0.83677,0.810364,0.828666,0.7909599999999999,0.83677,0.8134599999999998,0.83677,0.690088935668385,0.5883446290545595,0.41165537094544064,0.5758212229129699,0.6385510901990269,
ego-Facebook,1,1.0,0.25,88234,87699,0.6107079999999999,0.818656,0.839688,0.797412,0.8279615,0.759656,0.839688,0.818656,0.839688,0.5988768527688454,0.3875036833873563,0.6124963166126438,0.5822541329345178,0.7080924261591238,
