dataset,seed,eps,mechanism,m_orig,m_released,auc_heur,auc_logreg,auc_degaware,auc_svd,auc_seed,auc_max,deg_dist_norm,clust_err,spec_err,comm_nmi_gt
ca-GrQc,1,3.0,tmf,14484,14563,0.514054375,0.5615024999999999,0.8287765,0.5362264999999999,0.649154625,0.8287765,0.5871996685998344,0.5338631617065349,0.8525244185430721,
ca-GrQc,1,3.0,dk1dp,14484,14386,0.58273875,0.8197205,0.8335175,0.7977399999999999,0.83210425,0.8335175,0.0312068489367578,0.5317892357201429,0.6082620380030626,
ca-GrQc,1,3.0,swap,14484,14484,0.99521125,0.9959520000000002,0.9944455,0.931687,0.994560875,0.9959520000000002,0.0,0.0692063463657435,0.0451358989328007,
ca-GrQc,1,5.0,tmf,14484,14494,0.599535875,0.6838084999999999,0.850034,0.666956,0.7313384999999999,0.850034,0.5622065727699532,0.534205685849059,0.8444026219726998,
ca-GrQc,1,5.0,dk1dp,14484,14439,0.5821721249999999,0.827772,0.8305915,0.7917665,0.8311785,0.8311785,0.0174675504004419,0.533066364437413,0.6134449174422013,
ca-GrQc,1,5.0,swap,14484,14484,0.99974775,0.9996815,0.999999,0.917765,0.999840625,0.999999,0.0,0.0049182237794243,0.0043951284364294,
ca-GrQc,2,0.5,tmf,14484,397251,0.54622925,0.564936,0.8458009999999999,0.520575,0.6606887499999999,0.8458009999999999,26.42688483844242,0.5083857146188758,2.34336850208923,
ca-GrQc,2,0.5,dk1dp,14484,17016,0.572611,0.7439150000000001,0.8339475000000001,0.735393,0.7625335000000001,0.8339475000000001,0.3073046119856395,0.529626404742259,0.5869931951733254,
ca-GrQc,2,0.5,swap,14484,14484,0.934720875,0.9514175,0.9517290000000002,0.8395705000000001,0.9526202500000002,0.9526202500000002,0.0,0.4172075940928688,0.2801546440045559,
ca-GrQc,2,1.0,tmf,14484,22988,0.503283,0.507762,0.8250785,0.508572,0.6371181250000001,0.8250785,0.969828776581055,0.5359854743612006,0.7838017619401254,
